,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Embedding Dimensions,Max Tokens,CEDRClassification (rus-Cyrl),GeoreviewClassification (rus-Cyrl),GeoreviewClusteringP2P (rus-Cyrl),HeadlineClassification (rus-Cyrl),InappropriatenessClassification (rus-Cyrl),KinopoiskClassification (rus-Cyrl),MIRACLReranking (rus-Cyrl),MIRACLRetrieval (rus-Cyrl),MassiveIntentClassification (rus-Cyrl),MassiveScenarioClassification (rus-Cyrl),RUParaPhraserSTS (rus-Cyrl),RiaNewsRetrieval (rus-Cyrl),RuBQReranking (rus-Cyrl),RuBQRetrieval (rus-Cyrl),RuReviewsClassification (rus-Cyrl),RuSTSBenchmarkSTS (rus-Cyrl),RuSciBenchGRNTIClassification (rus-Cyrl),RuSciBenchGRNTIClusteringP2P (rus-Cyrl),RuSciBenchOECDClassification (rus-Cyrl),RuSciBenchOECDClusteringP2P (rus-Cyrl),STS22 (rus-Cyrl),SensitiveTopicsClassification (rus-Cyrl),TERRa (rus-Cyrl)
0,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-m3"">bge-m3</a>",567,2.11,1024,8192,43.47,48.27,63.09,70.32,59.87,58.23,65.38,70.16,68.75,73.42,74.9,82.99,74.03,71.22,66.91,79.87,55.81,50.83,42.57,43.21,66.26,26.25,60.6
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational"">distilrubert-small-cased-conversational</a>",106,0.39,768,512,36.19,38.95,43.26,75.59,60.68,49.67,,,63.12,68.08,55.01,4.14,42.58,10.6,54.05,61.72,48.53,37.84,37.65,34.12,51.87,22.45,52.48
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DeepPavlov/rubert-base-cased"">rubert-base-cased</a>",180,0.67,768,512,33.59,37.22,28.77,75.23,57.34,49.91,,,53.02,56.79,49.72,5.58,41.65,9.52,50.74,53.95,48.03,28.29,36.13,26.67,34.98,18.8,52.12
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DeepPavlov/rubert-base-cased-sentence"">rubert-base-cased-sentence</a>",180,0.67,768,512,35.55,38.05,41.82,67.64,58.27,45.86,,,49.1,51.91,66.24,6.72,39.89,12.63,58.34,66.03,52.18,46.29,40.11,41.28,51.27,20.05,59.12
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/GritLM/GritLM-7B"">GritLM-7B</a>",7240,26.97,,4096,42.68,53.47,74.06,85.66,65.29,64.25,,,76.01,78.28,74.37,,72.43,70.94,68.58,81.07,64.56,60.01,51.2,51.66,,28.52,58.86
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru"">sbert_large_mt_nlu_ru</a>",427,1.59,1024,514,36.81,39.67,57.07,77.19,64.64,50.33,24.99,6.2,61.42,68.13,65.17,21.4,56.14,29.8,58.29,71.22,54.19,51.44,43.8,45.36,56.82,28.54,51.97
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ai-forever/sbert_large_nlu_ru"">sbert_large_nlu_ru</a>",427,1.59,1024,512,35.84,39.97,57.12,79.26,62.52,49.51,18.8,1.98,61.09,67.6,62.06,11.11,46.81,12.45,58.27,58.82,53.9,49.7,43.04,44.48,50.75,27.9,50.17
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/cointegrated/LaBSE-en-ru"">LaBSE-en-ru</a>",129,0.48,768,512,40.75,40.89,51.89,68.75,58.48,49.85,,,60.53,65.15,65.87,34.73,54.83,29.03,58.01,73.32,52.8,47.48,40.36,41.16,58.53,21.79,55.61
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/cointegrated/rubert-tiny"">rubert-tiny</a>",12,0.04,512,514,37.39,33.45,34.4,57.65,54.5,41.36,,,50.1,52.15,53.41,0.79,35.44,3.24,49.56,58.16,35.71,29.89,26.51,27.98,47.88,18.54,51.06
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/cointegrated/rubert-tiny2"">rubert-tiny2</a>",29,0.11,2048,514,36.87,39.64,41.58,74.19,58.57,49.06,15.81,1.89,50.83,59.15,65.14,13.92,46.09,10.87,56.99,69.43,45.63,39.78,35.48,35.98,50.23,22.03,51.87
